Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-23T16:03:00Z; 96495,02; 96495,02; 96472,70; 96472,70; 96472,70;0;-2,783432e-04
2020-09-23T16:04:00Z; 96472,80; 96472,80; 96460,79; 96460,79; 96460,79;0;-1,234546e-04
2020-09-23T16:05:00Z; 96456,68; 96459,13; 96456,68; 96459,13; 96459,13;0;-1,720906e-05
2020-09-23T16:06:00Z; 96474,73; 96522,47; 96474,73; 96522,47; 96522,47;0; 6,566512e-04
2020-09-23T16:07:00Z; 96512,70; 96524,82; 96512,70; 96524,82; 96524,82;0; 2,434666e-05
2020-09-23T16:08:00Z; 96494,37; 96517,25; 96494,37; 96517,25; 96517,25;0;-7,842542e-05
2020-09-23T16:09:00Z; 96488,41; 96488,41; 96445,66; 96445,66; 96445,66;0;-7,417327e-04
2020-09-23T16:10:00Z; 96455,13; 96475,68; 96455,13; 96475,68; 96475,68;0; 3,112634e-04
2020-09-23T16:11:00Z; 96494,25; 96494,25; 96484,20; 96484,20; 96484,20;0; 8,831241e-05
2020-09-23T16:12:00Z; 96491,94; 96530,81; 96491,94; 96530,81; 96530,81;0; 4,830843e-04
2020-09-23T16:13:00Z; 96533,63; 96533,63; 96531,90; 96531,90; 96531,90;0; 1,129173e-05
2020-09-23T16:14:00Z; 96534,68; 96558,52; 96534,68; 96558,52; 96558,52;0; 2,757638e-04
2020-09-23T16:15:00Z; 96600,24; 96614,08; 96600,24; 96614,08; 96614,08;0; 5,754024e-04
2020-09-23T16:16:00Z; 96645,29; 96685,28; 96645,29; 96685,28; 96685,28;0; 7,369526e-04
2020-09-23T16:17:00Z; 96689,44; 96689,44; 96640,55; 96640,55; 96640,55;0;-4,626351e-04
2020-09-23T16:18:00Z; 96668,34; 96668,34; 96629,87; 96629,87; 96629,87;0;-1,105126e-04
2020-09-23T16:19:00Z; 96626,88; 96626,88; 96601,16; 96601,16; 96601,16;0;-2,971131e-04
2020-09-23T16:20:00Z; 96540,30; 96546,60; 96540,30; 96546,60; 96546,60;0;-5,647965e-04
2020-09-23T16:21:00Z; 96549,53; 96549,53; 96528,19; 96528,19; 96528,19;0;-1,906851e-04
2020-09-23T16:22:00Z; 96530,20; 96543,04; 96530,20; 96543,04; 96543,04;0; 1,538411e-04
2020-09-23T16:23:00Z; 96543,83; 96557,64; 96543,83; 96557,64; 96557,64;0; 1,512279e-04
2020-09-23T16:24:00Z; 96582,80; 96600,83; 96582,80; 96600,83; 96600,83;0; 4,472976e-04
2020-09-23T16:25:00Z; 96602,06; 96609,38; 96602,06; 96609,38; 96609,38;0; 8,850856e-05
2020-09-23T16:26:00Z; 96587,00; 96587,00; 96580,29; 96580,29; 96580,29;0;-3,011095e-04
2020-09-23T16:27:00Z; 96615,96; 96663,45; 96615,96; 96663,45; 96663,45;0; 8,610453e-04
2020-09-23T16:28:00Z; 96711,60; 96713,22; 96711,60; 96713,22; 96713,22;0; 5,148792e-04
2020-09-23T16:29:00Z; 96727,75; 96727,75; 96721,14; 96721,14; 96721,14;0; 8,189160e-05
